Date,Session_All_traffic
01.01.2019,0
02.01.2019,0
03.01.2019,0
04.01.2019,0
05.01.2019,0
06.01.2019,0
07.01.2019,0
08.01.2019,0
09.01.2019,0
10.01.2019,0
11.01.2019,0
12.01.2019,0
13.01.2019,0
14.01.2019,0
15.01.2019,0
16.01.2019,0
17.01.2019,0
18.01.2019,0
19.01.2019,0
20.01.2019,0
21.01.2019,0
22.01.2019,0
23.01.2019,0
24.01.2019,0
25.01.2019,0
26.01.2019,0
27.01.2019,0
28.01.2019,0
29.01.2019,0
30.01.2019,0
31.01.2019,0
01.02.2019,0
02.02.2019,0
03.02.2019,0
04.02.2019,150
05.02.2019,110
06.02.2019,91
07.02.2019,138
08.02.2019,126
09.02.2019,92
10.02.2019,76
11.02.2019,134
12.02.2019,128
13.02.2019,155
14.02.2019,119
15.02.2019,128
16.02.2019,112
17.02.2019,153
18.02.2019,168
19.02.2019,147
20.02.2019,144
21.02.2019,152
22.02.2019,149
23.02.2019,155
24.02.2019,146
25.02.2019,164
26.02.2019,182
27.02.2019,232
28.02.2019,218
01.03.2019,162
02.03.2019,130
03.03.2019,146
04.03.2019,162
05.03.2019,178
06.03.2019,77
07.03.2019,157
08.03.2019,125
09.03.2019,134
10.03.2019,178
11.03.2019,232
12.03.2019,193
13.03.2019,198
14.03.2019,220
15.03.2019,159
16.03.2019,142
17.03.2019,152
18.03.2019,176
19.03.2019,294
20.03.2019,0
21.03.2019,0
22.03.2019,0
23.03.2019,0
24.03.2019,0
25.03.2019,0
26.03.2019,0
27.03.2019,491
28.03.2019,458
29.03.2019,555
30.03.2019,718
31.03.2019,475
01.04.2019,626
02.04.2019,607
03.04.2019,536
04.04.2019,663
05.04.2019,817
06.04.2019,930
07.04.2019,1.041
08.04.2019,839
09.04.2019,761
10.04.2019,515
11.04.2019,549
12.04.2019,448
13.04.2019,435
14.04.2019,510
15.04.2019,687
16.04.2019,553
17.04.2019,893
18.04.2019,1.360
19.04.2019,1.860
20.04.2019,1.766
21.04.2019,1.806
22.04.2019,1.211
23.04.2019,901
24.04.2019,905
25.04.2019,1.107
26.04.2019,1.242
27.04.2019,787
28.04.2019,760
29.04.2019,986
30.04.2019,953
01.05.2019,783
02.05.2019,658
03.05.2019,673
04.05.2019,684
05.05.2019,735
06.05.2019,751
07.05.2019,711
08.05.2019,723
09.05.2019,833
10.05.2019,864
11.05.2019,1.289
12.05.2019,971
13.05.2019,1.039
14.05.2019,1.036
15.05.2019,1.106
16.05.2019,1.086
17.05.2019,765
18.05.2019,1.593
19.05.2019,1.576
20.05.2019,1.398
21.05.2019,1.052
22.05.2019,902
23.05.2019,1.108
24.05.2019,973
25.05.2019,1.078
26.05.2019,831
27.05.2019,984
28.05.2019,955
29.05.2019,967
30.05.2019,813
31.05.2019,1.631
01.06.2019,1.419
02.06.2019,1.588
03.06.2019,1.650
04.06.2019,1.920
05.06.2019,2.502
06.06.2019,1.918
07.06.2019,1.544
08.06.2019,1.520
09.06.2019,1.748
10.06.2019,1.428
11.06.2019,1.502
12.06.2019,1.656
13.06.2019,1.926
14.06.2019,1.958
15.06.2019,1.323
16.06.2019,1.842
17.06.2019,2.208
18.06.2019,2.247
19.06.2019,2.261
20.06.2019,2.151
21.06.2019,2.046
22.06.2019,2.205
23.06.2019,2.256
24.06.2019,2.684
25.06.2019,2.600
26.06.2019,2.314
27.06.2019,2.000
28.06.2019,2.230
29.06.2019,2.630
30.06.2019,2.385
01.07.2019,1.421
02.07.2019,1.143
03.07.2019,1.111
04.07.2019,1.039
05.07.2019,1.386
06.07.2019,1.065
07.07.2019,1.342
08.07.2019,1.604
09.07.2019,1.925
10.07.2019,2.163
11.07.2019,2.479
12.07.2019,2.486
13.07.2019,2.390
14.07.2019,2.229
15.07.2019,1.859
16.07.2019,2.023
17.07.2019,2.421
18.07.2019,2.480
19.07.2019,2.154
20.07.2019,2.209
21.07.2019,1.715
22.07.2019,2.096
23.07.2019,2.926
24.07.2019,3.172
25.07.2019,3.117
26.07.2019,2.751
27.07.2019,2.287
28.07.2019,2.014
29.07.2019,2.431
30.07.2019,1.952
31.07.2019,1.388
01.08.2019,1.454
02.08.2019,2.189
03.08.2019,2.253
04.08.2019,1.786
05.08.2019,1.838
06.08.2019,1.566
07.08.2019,1.474
08.08.2019,1.284
09.08.2019,1.555
10.08.2019,1.548
11.08.2019,1.283
12.08.2019,1.260
13.08.2019,857
14.08.2019,1.004
15.08.2019,864
16.08.2019,969
17.08.2019,782
18.08.2019,820
19.08.2019,1.212
20.08.2019,1.185
21.08.2019,1.216
22.08.2019,1.357
23.08.2019,1.923
24.08.2019,2.067
25.08.2019,1.859
26.08.2019,1.705
27.08.2019,1.309
28.08.2019,1.188
29.08.2019,1.206
30.08.2019,1.294
31.08.2019,1.480
01.09.2019,799
02.09.2019,674
03.09.2019,531
04.09.2019,509
05.09.2019,480
06.09.2019,451
07.09.2019,984
08.09.2019,617
09.09.2019,391
10.09.2019,368
11.09.2019,422
12.09.2019,435
13.09.2019,589
14.09.2019,830
15.09.2019,365
16.09.2019,403
17.09.2019,322
18.09.2019,389
19.09.2019,414
20.09.2019,429
21.09.2019,897
22.09.2019,759
23.09.2019,304
24.09.2019,229
25.09.2019,251
26.09.2019,238
27.09.2019,300
28.09.2019,474
29.09.2019,251
30.09.2019,236
01.10.2019,224
02.10.2019,318
03.10.2019,258
04.10.2019,287
05.10.2019,379
06.10.2019,285
07.10.2019,213
08.10.2019,217
09.10.2019,279
10.10.2019,283
11.10.2019,215
12.10.2019,275
13.10.2019,277
14.10.2019,236
15.10.2019,276
16.10.2019,215
17.10.2019,197
18.10.2019,250
19.10.2019,246
20.10.2019,163
21.10.2019,191
22.10.2019,196
23.10.2019,161
24.10.2019,166
25.10.2019,217
26.10.2019,151
27.10.2019,200
28.10.2019,160
29.10.2019,198
30.10.2019,152
31.10.2019,160
01.11.2019,127
02.11.2019,90
03.11.2019,144
04.11.2019,127
05.11.2019,120
06.11.2019,122
07.11.2019,112
08.11.2019,147
09.11.2019,120
10.11.2019,90
11.11.2019,91
12.11.2019,117
13.11.2019,118
14.11.2019,126
15.11.2019,79
16.11.2019,78
17.11.2019,71
18.11.2019,112
19.11.2019,107
20.11.2019,112
21.11.2019,85
22.11.2019,99
23.11.2019,83
24.11.2019,98
25.11.2019,108
26.11.2019,179
27.11.2019,93
