Date,Click_Ads-bid_Adjustments
01.01.2019,0
02.01.2019,0
03.01.2019,0
04.01.2019,0
05.01.2019,0
06.01.2019,0
07.01.2019,0
08.01.2019,0
09.01.2019,0
10.01.2019,0
11.01.2019,0
12.01.2019,0
13.01.2019,0
14.01.2019,0
15.01.2019,0
16.01.2019,4
17.01.2019,0
18.01.2019,0
19.01.2019,0
20.01.2019,0
21.01.2019,0
22.01.2019,0
23.01.2019,10
24.01.2019,13
25.01.2019,11
26.01.2019,12
27.01.2019,11
28.01.2019,9
29.01.2019,10
30.01.2019,21
31.01.2019,16
01.02.2019,22
02.02.2019,13
03.02.2019,15
04.02.2019,23
05.02.2019,18
06.02.2019,21
07.02.2019,29
08.02.2019,25
09.02.2019,20
10.02.2019,20
11.02.2019,30
12.02.2019,23
13.02.2019,34
14.02.2019,31
15.02.2019,24
16.02.2019,22
17.02.2019,35
18.02.2019,31
19.02.2019,38
20.02.2019,18
21.02.2019,16
22.02.2019,21
23.02.2019,18
24.02.2019,42
25.02.2019,0
26.02.2019,0
27.02.2019,40
28.02.2019,20
01.03.2019,60
02.03.2019,46
03.03.2019,55
04.03.2019,53
05.03.2019,47
06.03.2019,60
07.03.2019,57
08.03.2019,32
09.03.2019,38
10.03.2019,70
11.03.2019,49
12.03.2019,52
13.03.2019,45
14.03.2019,53
15.03.2019,47
16.03.2019,77
17.03.2019,67
18.03.2019,54
19.03.2019,81
20.03.2019,58
21.03.2019,70
22.03.2019,73
23.03.2019,81
24.03.2019,66
25.03.2019,79
26.03.2019,82
27.03.2019,69
28.03.2019,75
29.03.2019,100
30.03.2019,122
31.03.2019,78
01.04.2019,83
02.04.2019,83
03.04.2019,66
04.04.2019,89
05.04.2019,89
06.04.2019,92
07.04.2019,112
08.04.2019,101
09.04.2019,81
10.04.2019,86
11.04.2019,77
12.04.2019,85
13.04.2019,80
14.04.2019,89
15.04.2019,82
16.04.2019,88
17.04.2019,137
18.04.2019,138
19.04.2019,115
20.04.2019,233
21.04.2019,226
22.04.2019,167
23.04.2019,175
24.04.2019,131
25.04.2019,207
26.04.2019,136
27.04.2019,130
28.04.2019,118
29.04.2019,130
30.04.2019,74
01.05.2019,107
02.05.2019,128
03.05.2019,109
04.05.2019,120
05.05.2019,151
06.05.2019,134
07.05.2019,126
08.05.2019,151
09.05.2019,160
10.05.2019,196
11.05.2019,314
12.05.2019,241
13.05.2019,244
14.05.2019,262
15.05.2019,261
16.05.2019,230
17.05.2019,185
18.05.2019,413
19.05.2019,342
20.05.2019,298
21.05.2019,239
22.05.2019,222
23.05.2019,188
24.05.2019,199
25.05.2019,251
26.05.2019,217
27.05.2019,168
28.05.2019,149
29.05.2019,163
30.05.2019,188
31.05.2019,321
01.06.2019,289
02.06.2019,306
03.06.2019,312
04.06.2019,248
05.06.2019,308
06.06.2019,290
07.06.2019,265
08.06.2019,375
09.06.2019,428
10.06.2019,319
11.06.2019,255
12.06.2019,293
13.06.2019,295
14.06.2019,338
15.06.2019,307
16.06.2019,356
17.06.2019,371
18.06.2019,356
19.06.2019,271
20.06.2019,361
21.06.2019,387
22.06.2019,301
23.06.2019,348
24.06.2019,479
25.06.2019,372
26.06.2019,537
27.06.2019,338
28.06.2019,462
29.06.2019,672
30.06.2019,623
01.07.2019,272
02.07.2019,226
03.07.2019,182
04.07.2019,260
05.07.2019,235
06.07.2019,253
07.07.2019,268
08.07.2019,269
09.07.2019,373
10.07.2019,375
11.07.2019,344
12.07.2019,364
13.07.2019,532
14.07.2019,438
15.07.2019,447
16.07.2019,413
17.07.2019,438
18.07.2019,494
19.07.2019,316
20.07.2019,425
21.07.2019,344
22.07.2019,400
23.07.2019,378
24.07.2019,591
25.07.2019,545
26.07.2019,528
27.07.2019,541
28.07.2019,498
29.07.2019,554
30.07.2019,444
31.07.2019,248
01.08.2019,317
02.08.2019,373
03.08.2019,428
04.08.2019,300
05.08.2019,424
06.08.2019,272
07.08.2019,381
08.08.2019,299
09.08.2019,357
10.08.2019,386
11.08.2019,303
12.08.2019,260
13.08.2019,198
14.08.2019,241
15.08.2019,230
16.08.2019,248
17.08.2019,192
18.08.2019,239
19.08.2019,300
20.08.2019,256
21.08.2019,263
22.08.2019,293
23.08.2019,297
24.08.2019,179
25.08.2019,0
26.08.2019,0
27.08.2019,0
28.08.2019,0
29.08.2019,0
30.08.2019,0
31.08.2019,0
01.09.2019,0
02.09.2019,0
03.09.2019,96
04.09.2019,128
05.09.2019,138
06.09.2019,135
07.09.2019,299
08.09.2019,200
09.09.2019,96
10.09.2019,93
11.09.2019,105
12.09.2019,104
13.09.2019,181
14.09.2019,217
15.09.2019,66
16.09.2019,94
17.09.2019,76
18.09.2019,91
19.09.2019,95
20.09.2019,120
21.09.2019,222
22.09.2019,203
23.09.2019,65
24.09.2019,49
25.09.2019,68
26.09.2019,67
27.09.2019,87
28.09.2019,99
29.09.2019,59
30.09.2019,52
01.10.2019,48
02.10.2019,98
03.10.2019,83
04.10.2019,77
05.10.2019,83
06.10.2019,69
07.10.2019,54
08.10.2019,54
09.10.2019,62
10.10.2019,81
11.10.2019,56
12.10.2019,73
13.10.2019,87
14.10.2019,56
15.10.2019,76
16.10.2019,53
17.10.2019,64
18.10.2019,59
19.10.2019,70
20.10.2019,41
21.10.2019,46
22.10.2019,44
23.10.2019,34
24.10.2019,35
25.10.2019,47
26.10.2019,28
27.10.2019,39
28.10.2019,27
29.10.2019,38
30.10.2019,26
31.10.2019,25
01.11.2019,20
02.11.2019,23
03.11.2019,26
04.11.2019,26
05.11.2019,27
06.11.2019,31
07.11.2019,29
08.11.2019,29
09.11.2019,33
10.11.2019,24
11.11.2019,16
12.11.2019,29
13.11.2019,36
14.11.2019,29
15.11.2019,28
16.11.2019,19
17.11.2019,16
18.11.2019,29
19.11.2019,28
20.11.2019,33
21.11.2019,19
22.11.2019,17
23.11.2019,16
24.11.2019,24
25.11.2019,19
26.11.2019,23
27.11.2019,22
