Source/Medium,Sessions,%NewSessions,NewUsers,BounceRate,PagesPersession,EcommerceConversionRate,Transactions,Revenue
google / organic,124.037,"62,34 %",77.327,"39,17 %","2,57",00:02:45,"7,06 %",8.756,"6.772.037,33 kr."
google / cpc,62.115,"60,03 %",37.288,"51,85 %","1,72",00:01:51,"5,41 %",3.360,"2.627.979,94 kr."
(direct) / (none),56.484,"68,86 %",38.897,"45,82 %","2,24",00:02:12,"5,66 %",3.195,"2.535.874,86 kr."
m.facebook.com / referral,2.508,"89,19 %",2.237,"66,27 %","1,63",00:00:56,"0,84 %",21,"16.060,00 kr."
UnBounce / cpc,1.451,"1,59 %",23,"37,84 %","1,43",00:02:03,"9,30 %",135,"108.012,00 kr."
goboatmelbourne.com.au / referral,1.325,"63,40 %",840,"32,23 %","1,22",00:02:07,"6,79 %",90,"71.234,96 kr."
bing / organic,1.106,"66,55 %",736,"37,79 %","2,68",00:03:22,"12,12 %",134,"113.353,00 kr."
youtube.com / referral,774,"85,27 %",660,"46,90 %","2,18",00:01:52,"0,52 %",4,"3.619,00 kr."
l.instagram.com / referral,692,"96,68 %",669,"27,89 %","2,51",00:01:25,"1,16 %",8,"5.841,00 kr."
duglemmerdetaldrig.dk / referral,687,"22,13 %",152,"24,31 %","1,68",00:09:57,"83,99 %",577,"239.980,00 kr."
,257.670,"63,08 %",162.527,"43,99 %","2,25",00:02:24,"6,45 %",16.612,"12.795.466,24 kr."


Sitelink/SitelinkID,Click,Price,CPC,Sessions,BounceRate,PagesPersession,EcommerceConversionRate,Transactions,Revenue
Book en båd nu / 61627300873,338,"425,78 kr.","1,26 kr.",384,"53,12 %","1,21","4,43 %",17,"11.333,00 kr."
Sådan fungerer GoBoat / 61627300876,292,"675,44 kr.","2,31 kr.",312,"60,26 %","1,89","1,92 %",6,"6.292,00 kr."
GoBoat-Oplevelse / 61627300879,89,"229,99 kr.","2,58 kr.",75,"46,67 %","2,07","0,00 %",0,"0,00 kr."
Kontakt GoBoat / 61627300882,44,"98,26 kr.","2,23 kr.",38,"55,26 %","2,00","0,00 %",0,"0,00 kr."
Fyraftensmøde / 62824449710,3,"20,79 kr.","6,93 kr.",2,"100,00 %","1,00","0,00 %",0,"0,00 kr."
(not set) / 44915902300,0,"0,00 kr.","0,00 kr.",16,"50,00 %","2,19","0,00 %",0,"0,00 kr."
(not set) / 44915902303,0,"0,00 kr.","0,00 kr.",88,"26,14 %","1,25","15,91 %",14,"9.132,00 kr."
(not set) / 70029623245,0,"0,00 kr.","0,00 kr.",939,"66,24 %","1,82","2,24 %",21,"17.751,00 kr."
(not set) / 70029623248,0,"0,00 kr.","0,00 kr.",97,"64,95 %","1,75","4,12 %",4,"2.846,00 kr."
