Date,Parameters,Age_Group
04.02.2019,"Low, Low",1
04.02.2019,"Low, Low",1
04.02.2019,"Low, Low",1
04.02.2019,"Low, Low",1
04.02.2019,"Low, Low",1
04.02.2019,"Low, Low",1
04.02.2019,"Low, Low",1
04.02.2019,"Low, Low",1
04.02.2019,"Low, Low",1
04.02.2019,"Low, Low",1
04.02.2019,"Low, Low",1
04.02.2019,"Low, Low",1
04.02.2019,"Low, Low",1
04.02.2019,"Low, Low",1
04.02.2019,"Low, Low",1
04.02.2019,"Low, Low",1
04.02.2019,"Low, Low",2
04.02.2019,"Low, Low",2
04.02.2019,"Low, Low",2
04.02.2019,"Low, Low",2
04.02.2019,"Low, Low",2
04.02.2019,"Low, Low",2
04.02.2019,"Low, Low",2
04.02.2019,"Low, Low",2
04.02.2019,"Low, Low",2
04.02.2019,"Low, Low",2
04.02.2019,"Low, Low",2
04.02.2019,"Low, Low",2
04.02.2019,"Low, Low",2
04.02.2019,"Low, Low",2
04.02.2019,"Low, Low",3
04.02.2019,"Low, Low",3
04.02.2019,"Low, Low",3
04.02.2019,"Low, Low",3
04.02.2019,"Low, Low",3
04.02.2019,"Low, Low",3
04.02.2019,"Low, Low",3
04.02.2019,"Low, Low",3
04.02.2019,"Low, Low",3
04.02.2019,"Low, Low",3
04.02.2019,"Low, Low",3
04.02.2019,"Low, Low",3
04.02.2019,"Low, Low",3
04.02.2019,"Low, Low",3
04.02.2019,"Low, Low",3
05.02.2019,"Low, Low",2
05.02.2019,"Low, Low",2
05.02.2019,"Low, Low",2
05.02.2019,"Low, Low",2
05.02.2019,"Low, Low",2
05.02.2019,"Low, Low",2
05.02.2019,"Low, Low",2
05.02.2019,"Low, Low",2
05.02.2019,"Low, Low",2
05.02.2019,"Low, Low",2
05.02.2019,"Low, Low",2
05.02.2019,"Low, Low",2
05.02.2019,"Low, Low",2
05.02.2019,"Low, Low",2
05.02.2019,"Low, Low",2
05.02.2019,"Low, Low",2
05.02.2019,"Low, Low",2
05.02.2019,"Low, Low",2
05.02.2019,"Low, Low",2
05.02.2019,"Low, Low",2
05.02.2019,"Low, Low",2
06.02.2019,"Low, High",2
06.02.2019,"Low, High",2
06.02.2019,"Low, High",2
06.02.2019,"Low, High",2
06.02.2019,"Low, High",2
06.02.2019,"Low, High",2
