Date,News_Readers,Beauty_Welness,Art_Theater,Business_Professionals,Luxury_Shoppers,Books_lovers,Music_lovers,Shppers,Health_Fitness,Travel_Buffs,Parameters
04.02.2019,138.0,35,42,49,34,31,107.0,43,42,90,"Low, Low"
05.02.2019,86.0,18,31,37,19,20,55.0,34,38,68,"Low, Low"
06.02.2019,70.0,15,22,31,17,14,65.0,20,19,35,"Low, High"
07.02.2019,118.0,25,31,36,25,25,89.0,33,33,88,"Low, High"
08.02.2019,97.0,21,23,32,20,16,63.0,19,24,59,"Low, Low"
09.02.2019,54.0,14,21,23,19,16,49.0,26,15,32,"Low, High"
11.02.2019,112.0,25,33,34,24,28,62.0,28,33,74,"Low, Low"
12.02.2019,112.0,23,35,40,29,23,111.0,41,35,88,"Low, Low"
13.02.2019,163.0,38,36,60,31,29,75.0,41,47,99,"Low, Low"
14.02.2019,68.0,20,25,27,18,16,70.0,22,26,49,"Low, Low"
15.02.2019,129.0,35,38,48,30,33,75.0,43,41,73,"Low, Low"
16.02.2019,62.0,17,20,22,17,16,41.0,26,23,39,"Low, Low"
17.02.2019,84.0,17,29,30,24,29,73.0,38,27,53,"Low, Low"
18.02.2019,145.0,40,47,61,36,28,130.0,46,51,89,"Low, Low"
19.02.2019,158.0,27,51,43,26,45,138.0,43,46,96,"Low, Low"
20.02.2019,98.0,22,30,44,22,22,72.0,34,29,68,"Low, Medium"
21.02.2019,135.0,26,44,52,34,27,108.0,42,51,89,"Low, High"
22.02.2019,124.0,29,38,44,30,35,88.0,45,34,74,"Low, Low"
23.02.2019,64.0,11,15,19,11,21,50.0,29,14,41,"Low, Low"
24.02.2019,73.0,15,23,23,14,22,43.0,27,21,47,"Low, Low"
25.02.2019,152.0,42,47,57,51,35,104.0,47,53,88,"Low, Low"
26.02.2019,172.0,41,55,47,53,45,111.0,44,54,113,"Low, Low"
27.02.2019,166.0,60,76,75,77,61,177.0,77,69,123,"Low, Low"
28.02.2019,177.0,50,54,74,61,45,116.0,61,60,104,"Low, Low"
01.03.2019,87.0,31,33,42,34,28,115.0,36,38,73,"Low, Low"
02.03.2019,59.0,14,15,22,21,20,32.0,24,17,36,"Low, Low"
03.03.2019,85.0,25,34,30,33,25,65.0,31,31,58,"Low, High"
04.03.2019,132.0,49,45,58,48,35,98.0,47,52,73,"Low, High"
06.03.2019,50.0,18,15,20,17,12,34.0,17,12,26,"Low, High"
07.03.2019,119.0,29,30,46,46,23,74.0,42,34,70,"Low, Medium"
08.03.2019,81.0,24,32,32,29,21,60.0,25,30,56,"Low, Low"
09.03.2019,68.0,22,26,24,23,20,85.0,24,26,48,"Low, Medium"
10.03.2019,75.0,26,30,31,31,32,78.0,33,35,65,"Low, High"
11.03.2019,165.0,49,58,62,67,54,105.0,64,60,127,"Low, Low"
12.03.2019,126.0,48,45,56,50,39,133.0,49,49,85,"Low, High"
13.03.2019,122.0,35,33,43,41,26,89.0,36,38,78,"Low, High"
14.03.2019,159.0,49,47,59,63,40,128.0,54,62,110,"Low, High"
15.03.2019,116.0,36,34,49,48,28,120.0,37,41,71,"Low, High"
16.03.2019,70.0,28,21,33,39,19,60.0,31,32,53,"Low, High"
17.03.2019,79.0,20,24,27,26,19,56.0,23,24,50,"Low, Medium"
18.03.2019,126.0,42,41,57,47,42,106.0,48,50,93,"Low, Low"
19.03.2019,203.0,55,58,68,82,48,193.0,65,67,128,"Low, Low"
27.03.2019,295.0,95,77,109,104,79,214.0,92,94,179,"Low, Low"
28.03.2019,319.0,83,94,131,117,86,196.0,103,97,216,"Low, Low"
29.03.2019,376.0,105,96,143,125,98,255.0,130,106,249,"Low, Low"
30.03.2019,406.0,102,112,128,119,120,249.0,131,96,252,"Low, Low"
31.03.2019,207.0,66,63,83,81,61,193.0,89,73,157,"Low, Low"
01.04.2019,469.0,136,152,167,157,136,375.0,141,160,295,"Low, Low"
02.04.2019,443.0,135,125,167,153,112,317.0,131,138,259,"Low, Low"
03.04.2019,301.0,105,93,123,130,78,304.0,112,100,187,"Low, Low"
04.04.2019,444.0,131,145,179,157,135,367.0,149,146,283,"Low, Low"
05.04.2019,443.0,147,130,165,177,97,317.0,165,131,293,"Low, Low"
06.04.2019,495.0,144,141,188,187,142,312.0,194,141,337,"Low, Low"
07.04.2019,459.0,120,138,176,167,131,317.0,180,132,310,"Low, Low"
08.04.2019,534.0,153,193,220,202,169,464.0,210,172,358,"Low, Low"
09.04.2019,475.0,144,154,181,184,138,383.0,176,155,286,"Low, Low"
10.04.2019,339.0,98,101,132,116,100,260.0,109,108,220,"Low, Low"
11.04.2019,330.0,103,114,137,129,99,293.0,118,129,227,"Low, Low"
12.04.2019,328.0,79,130,124,115,94,373.0,129,111,188,"Low, Low"
13.04.2019,270.0,79,75,105,90,79,175.0,93,76,182,"Low, Low"
14.04.2019,232.0,73,71,82,84,60,142.0,64,67,119,"Low, Low"
15.04.2019,385.0,132,122,170,163,116,278.0,151,109,197,"Low, Low"
16.04.2019,361.0,109,105,133,134,90,296.0,121,103,229,"Low, Low"
17.04.2019,475.0,160,141,182,190,129,341.0,177,147,311,"Low, Low"
18.04.2019,705.0,216,222,261,268,201,555.0,268,184,438,"Low, Low"
19.04.2019,892.0,265,262,339,330,239,610.0,313,237,488,"Low, Low"
20.04.2019,777.0,223,261,294,299,225,559.0,327,217,551,"Low, Low"
21.04.2019,825.0,229,235,307,310,198,572.0,308,219,507,"Low, Low"
22.04.2019,610.0,183,163,217,226,182,389.0,222,169,408,"Low, Low"
23.04.2019,608.0,168,235,223,232,190,561.0,203,203,405,"Low, Low"
24.04.2019,543.0,177,174,219,210,158,369.0,188,175,343,"Low, Low"
25.04.2019,716.0,210,211,274,257,205,552.0,230,203,394,"Low, Low"
26.04.2019,769.0,237,257,298,292,233,471.0,291,226,477,"Low, Low"
27.04.2019,378.0,135,119,159,151,100,254.0,142,120,252,"Low, High"
28.04.2019,379.0,114,140,154,151,121,290.0,151,143,263,"Low, Low"
29.04.2019,588.0,188,208,240,231,185,454.0,215,200,394,"Low, Low"
30.04.2019,609.0,209,221,262,245,167,439.0,226,216,421,"Low, Low"
01.05.2019,545.0,181,185,221,197,165,375.0,191,169,298,"Low, Low"
02.05.2019,387.0,128,150,171,163,129,339.0,167,128,252,"Low, Low"
03.05.2019,427.0,138,138,179,170,128,287.0,144,126,260,"Low, Medium"
04.05.2019,334.0,93,124,128,130,96,297.0,140,110,239,"Low, High"
05.05.2019,334.0,98,122,146,137,111,245.0,152,114,238,"Low, Low"
06.05.2019,591.0,183,219,237,239,189,531.0,195,199,376,"Low, Low"
07.05.2019,511.0,162,192,211,195,175,373.0,186,171,300,"Low, Low"
08.05.2019,433.0,132,162,176,173,135,402.0,183,168,238,"Low, Low"
09.05.2019,526.0,174,181,213,217,160,474.0,187,186,322,"Low, High"
10.05.2019,473.0,150,163,194,192,136,410.0,174,169,282,"Low, Low"
11.05.2019,644.0,185,217,233,221,188,437.0,252,207,432,"Low, Low"
12.05.2019,446.0,123,161,150,145,138,323.0,151,131,259,"Low, Low"
13.05.2019,718.0,235,252,318,291,189,546.0,268,246,423,"Low, Low"
14.05.2019,579.0,202,221,261,236,207,473.0,255,209,380,"Low, Low"
15.05.2019,783.0,266,248,324,307,221,545.0,291,247,445,"Low, Low"
16.05.2019,744.0,240,231,297,267,209,444.0,267,212,409,"Low, Low"
17.05.2019,446.0,123,157,173,160,145,323.0,154,140,260,"Low, High"
18.05.2019,672.0,202,235,274,268,219,500.0,297,216,406,"Low, Low"
19.05.2019,875.0,228,283,321,312,239,638.0,349,254,511,"Low, Low"
20.05.2019,687.0,250,267,323,311,220,624.0,295,275,499,"Low, Low"
21.05.2019,564.0,212,216,270,276,177,546.0,242,214,366,"Low, Medium"
22.05.2019,508.0,178,169,216,206,156,424.0,169,190,322,"Low, Low"
23.05.2019,625.0,208,218,271,262,188,568.0,238,221,387,"Low, Low"
24.05.2019,557.0,193,196,230,227,153,436.0,218,199,341,"Low, Low"
25.05.2019,425.0,142,164,191,191,140,360.0,203,136,300,"Low, Low"
26.05.2019,436.0,113,149,159,156,136,277.0,176,151,302,"Low, High"
27.05.2019,624.0,221,225,278,259,174,569.0,222,243,417,"Low, Low"
28.05.2019,605.0,194,211,251,222,190,457.0,213,210,382,"Low, Low"
29.05.2019,538.0,188,174,237,207,154,432.0,200,182,301,"Low, Low"
30.05.2019,403.0,133,151,148,157,137,340.0,161,134,276,"Low, Low"
31.05.2019,906.0,277,301,341,327,256,723.0,344,309,534,"High, Medium"
01.06.2019,675.0,188,223,261,256,188,487.0,263,214,406,"High, Low"
02.06.2019,624.0,188,264,256,242,221,567.0,282,224,423,"High, Low"
03.06.2019,1.01,358,355,438,420,278,760.0,403,357,640,"High, Low"
04.06.2019,1.043,341,372,453,414,316,864.0,420,362,604,"High, Low"
05.06.2019,1.09,374,358,465,476,299,906.0,465,402,698,"High, Low"
06.06.2019,891.0,303,311,391,373,264,692.0,357,323,499,"High, Medium"
07.06.2019,757.0,243,256,318,311,242,536.0,301,262,460,"High, Medium"
08.06.2019,614.0,181,228,237,223,195,538.0,264,204,399,"High, High"
09.06.2019,595.0,180,240,247,235,210,529.0,288,222,391,"High, Low"
10.06.2019,627.0,214,225,268,272,202,564.0,264,223,425,"High, Low"
11.06.2019,869.0,305,339,383,392,293,797.0,393,326,592,"High, High"
13.06.2019,1.101,342,378,448,427,341,952.0,439,388,650,"High, Low"
14.06.2019,988.0,330,338,420,395,296,764.0,398,362,647,"High, High"
15.06.2019,527.0,177,184,221,207,153,498.0,216,194,317,"High, High"
16.06.2019,775.0,277,274,310,306,222,625.0,325,260,465,"High, Low"
17.06.2019,1.168,411,428,512,493,363,1.021,483,406,725,"High, Low"
18.06.2019,1.113,371,396,480,472,333,963.0,455,385,687,"High, Low"
19.06.2019,1.1,370,405,467,465,314,1.0290000000000001,426,416,707,"High, High"
20.06.2019,1.0590000000000002,348,378,433,413,359,1.071,449,343,691,"High, Low"
21.06.2019,1.021,329,361,436,411,285,871.0,403,324,661,"High, Low"
22.06.2019,1.032,324,375,415,393,306,844.0,432,317,668,"High, Low"
23.06.2019,957.0,308,324,380,373,276,785.0,372,279,598,"High, Low"
24.06.2019,1.487,526,547,644,602,465,1.3619999999999999,593,501,996,"High, Low"
25.06.2019,1.445,504,510,608,570,426,1.294,549,528,922,"High, Low"
26.06.2019,1.139,408,411,520,477,349,1.012,458,407,723,"High, Low"
27.06.2019,976.0,322,343,418,405,279,840.0,394,323,610,"High, Low"
28.06.2019,1.102,352,358,458,425,318,859.0,428,361,716,"High, Low"
29.06.2019,1.028,351,409,450,451,343,896.0,466,356,735,"High, Low"
30.06.2019,865.0,295,304,378,354,243,791.0,358,314,599,"High, Low"
01.07.2019,717.0,234,247,304,274,219,611.0,246,245,415,"High, Medium"
02.07.2019,582.0,215,189,255,254,170,581.0,227,212,393,"High, Low"
03.07.2019,584.0,187,196,254,228,167,477.0,212,167,356,"High, Low"
04.07.2019,669.0,235,226,279,263,185,501.0,229,212,404,"High, High"
05.07.2019,672.0,241,241,293,275,207,661.0,266,223,444,"High, Low"
06.07.2019,424.0,130,156,175,167,134,417.0,173,125,263,"High, High"
07.07.2019,583.0,190,199,242,233,169,488.0,252,164,423,"High, Low"
08.07.2019,822.0,283,294,363,355,228,760.0,320,279,581,"High, High"
09.07.2019,897.0,337,313,408,378,270,621.0,353,318,676,"High, Low"
10.07.2019,1.029,358,355,451,386,300,755.0,390,351,743,"High, Low"
11.07.2019,1.099,405,392,485,443,338,858.0,442,390,796,"High, Low"
12.07.2019,1.126,406,382,512,438,329,866.0,443,372,760,"High, Low"
