DateTime,Low,High,Medium
2019-01-01 00:00:00,4.3,8.4,6.6
2019-01-02 00:00:00,-0.9,6.1,2.8
2019-01-03 00:00:00,-0.4,4.6,2.3
2019-01-04 00:00:00,0.6,6.5,4.5
2019-01-05 00:00:00,-2.0,6.6,4.1
2019-01-06 00:00:00,-2.9,4.0,1.6
2019-01-07 00:00:00,3.0,7.1,4.6
2019-01-08 00:00:00,1.3,7.0,4.3
2019-01-09 00:00:00,-1.4,3.0,1.4
2019-01-10 00:00:00,-3.4,2.8,0.2
2019-01-11 00:00:00,-1.1,7.5,4.4
2019-01-12 00:00:00,-1.8,5.9,3.4
2019-01-13 00:00:00,2.6,8.2,5.5
2019-01-14 00:00:00,-1.0,3.4,1.2
2019-01-15 00:00:00,0.8,7.3,3.8
2019-01-16 00:00:00,4.3,7.5,6.2
2019-01-17 00:00:00,-2.8,5.6,2.4
2019-01-18 00:00:00,-4.3,2.1,-0.9
2019-01-19 00:00:00,-3.9,2.7,-0.1
2019-01-20 00:00:00,-3.6,2.8,-0.3
2019-01-21 00:00:00,-0.9,2.0,0.6
2019-01-22 00:00:00,-1.0,1.5,0.6
2019-01-23 00:00:00,-1.9,1.1,-0.4
2019-01-24 00:00:00,-2.8,0.1,-1.0
2019-01-25 00:00:00,-4.1,-1.5,-2.7
2019-01-26 00:00:00,-3.0,1.2,-0.8
2019-01-27 00:00:00,0.0,3.8,2.2
2019-01-28 00:00:00,0.4,4.0,2.9
2019-01-29 00:00:00,-1.1,2.9,1.0
2019-01-30 00:00:00,-1.7,3.4,1.4
2019-01-31 00:00:00,0.2,2.3,1.3
2019-02-01 00:00:00,-0.1,3.0,1.4
2019-02-02 00:00:00,0.4,2.8,1.8
2019-02-03 00:00:00,-3.1,2.4,1.0
2019-02-04 00:00:00,-3.8,3.6,1.2
2019-02-05 00:00:00,1.1,6.8,4.3
2019-02-06 00:00:00,1.2,4.4,3.0
2019-02-07 00:00:00,2.8,5.7,3.9
2019-02-08 00:00:00,4.2,6.8,5.3
2019-02-09 00:00:00,4.5,8.3,5.8
2019-02-10 00:00:00,3.0,7.1,4.7
2019-02-11 00:00:00,1.2,4.4,3.0
2019-02-12 00:00:00,-0.4,4.7,2.5
2019-02-13 00:00:00,3.6,9.4,6.8
2019-02-14 00:00:00,4.8,8.3,6.5
2019-02-15 00:00:00,1.1,10.6,5.4
2019-02-16 00:00:00,0.6,12.3,6.7
2019-02-17 00:00:00,3.9,10.3,7.0
2019-02-18 00:00:00,2.7,11.3,6.2
2019-02-19 00:00:00,1.8,8.1,6.1
2019-02-20 00:00:00,3.8,9.5,6.4
2019-02-21 00:00:00,2.2,8.8,6.7
2019-02-22 00:00:00,-0.9,3.9,1.4
2019-02-23 00:00:00,-0.5,6.5,2.9
2019-02-24 00:00:00,-0.4,12.5,5.6
2019-02-25 00:00:00,1.2,10.3,5.7
2019-02-26 00:00:00,3.2,12.5,7.5
2019-02-27 00:00:00,-0.6,14.3,7.9
2019-02-28 00:00:00,-0.7,11.6,6.1
2019-03-01 00:00:00,-3.0,8.0,2.1
2019-03-02 00:00:00,-1.1,5.0,2.3
2019-03-03 00:00:00,4.0,10.8,7.0
2019-03-04 00:00:00,4.6,9.5,6.8
2019-03-05 00:00:00,2.6,6.3,4.1
2019-03-06 00:00:00,1.2,7.0,4.9
2019-03-07 00:00:00,5.3,9.5,7.0
2019-03-08 00:00:00,3.4,8.2,5.8
2019-03-09 00:00:00,2.9,9.3,5.3
2019-03-10 00:00:00,-1.2,8.5,3.9
2019-03-11 00:00:00,-3.7,7.5,1.9
2019-03-12 00:00:00,-3.5,6.7,3.2
2019-03-13 00:00:00,2.2,6.9,4.9
2019-03-14 00:00:00,3.7,8.6,5.2
2019-03-15 00:00:00,2.6,7.3,5.1
2019-03-16 00:00:00,1.3,8.7,5.4
2019-03-17 00:00:00,4.5,9.6,7.2
2019-03-18 00:00:00,1.2,8.1,5.1
2019-03-19 00:00:00,-1.0,8.5,3.7
2019-03-20 00:00:00,0.5,9.5,6.1
2019-03-21 00:00:00,5.8,12.1,8.9
2019-03-22 00:00:00,4.2,9.3,7.2
2019-03-23 00:00:00,4.4,12.3,8.1
2019-03-24 00:00:00,2.9,10.6,6.0
2019-03-25 00:00:00,1.1,9.6,5.0
2019-03-26 00:00:00,0.7,9.5,5.2
2019-03-27 00:00:00,2.1,11.8,7.8
2019-03-28 00:00:00,6.1,14.3,9.4
2019-03-29 00:00:00,4.2,15.3,9.9
2019-03-30 00:00:00,2.6,16.7,9.6
2019-03-31 00:00:00,-0.7,9.5,5.7
2019-04-01 00:00:00,-3.4,9.3,3.7
2019-04-02 00:00:00,3.2,10.8,6.8
2019-04-03 00:00:00,6.4,14.1,9.3
2019-04-04 00:00:00,6.1,15.9,10.0
2019-04-05 00:00:00,6.2,16.4,10.1
2019-04-06 00:00:00,5.2,17.9,10.8
2019-04-07 00:00:00,3.9,18.1,10.1
2019-04-08 00:00:00,2.9,12.2,7.5
2019-04-09 00:00:00,0.1,8.2,4.3
2019-04-10 00:00:00,-0.7,8.2,3.5
2019-04-11 00:00:00,0.9,7.1,3.5
2019-04-12 00:00:00,-0.5,6.6,3.2
2019-04-13 00:00:00,-0.7,7.1,3.4
2019-04-14 00:00:00,0.4,10.7,5.1
2019-04-15 00:00:00,0.5,11.2,5.4
2019-04-16 00:00:00,1.0,11.6,6.1
2019-04-17 00:00:00,1.8,16.6,8.9
2019-04-18 00:00:00,3.7,18.3,10.6
2019-04-19 00:00:00,3.3,17.5,9.6
2019-04-20 00:00:00,1.1,18.9,10.7
2019-04-21 00:00:00,2.6,20.4,11.8
2019-04-22 00:00:00,4.5,17.7,11.0
2019-04-23 00:00:00,7.7,18.2,13.1
2019-04-24 00:00:00,9.6,17.5,13.6
2019-04-25 00:00:00,8.9,20.5,14.0
2019-04-26 00:00:00,7.6,24.4,15.1
2019-04-27 00:00:00,7.4,14.1,10.8
2019-04-28 00:00:00,7.4,14.8,11.3
2019-04-29 00:00:00,6.3,18.8,12.2
2019-04-30 00:00:00,4.7,19.1,12.5
2019-05-01 00:00:00,8.9,15.7,11.4
2019-05-02 00:00:00,4.8,12.8,9.6
2019-05-03 00:00:00,1.3,11.2,6.2
2019-05-04 00:00:00,0.5,10.7,4.7
2019-05-05 00:00:00,-1.5,14.5,7.3
2019-05-06 00:00:00,4.0,12.1,7.4
