Date,Direct
04.02.2019,46
05.02.2019,26
06.02.2019,24
07.02.2019,42
08.02.2019,35
09.02.2019,27
10.02.2019,20
11.02.2019,42
12.02.2019,37
13.02.2019,47
14.02.2019,37
15.02.2019,35
16.02.2019,26
17.02.2019,37
18.02.2019,44
19.02.2019,43
20.02.2019,38
21.02.2019,50
22.02.2019,36
23.02.2019,39
24.02.2019,25
25.02.2019,41
26.02.2019,50
27.02.2019,38
28.02.2019,49
01.03.2019,49
02.03.2019,34
03.03.2019,45
04.03.2019,46
05.03.2019,29
06.03.2019,28
07.03.2019,52
08.03.2019,39
09.03.2019,40
10.03.2019,48
11.03.2019,59
12.03.2019,44
13.03.2019,50
14.03.2019,55
15.03.2019,43
16.03.2019,30
17.03.2019,39
18.03.2019,55
19.03.2019,63
20.03.2019,0
21.03.2019,0
22.03.2019,0
23.03.2019,0
24.03.2019,0
25.03.2019,0
26.03.2019,0
27.03.2019,131
28.03.2019,90
29.03.2019,132
30.03.2019,199
31.03.2019,125
01.04.2019,171
02.04.2019,147
03.04.2019,141
04.04.2019,173
05.04.2019,185
06.04.2019,235
07.04.2019,245
08.04.2019,215
09.04.2019,170
10.04.2019,136
11.04.2019,149
12.04.2019,132
13.04.2019,125
14.04.2019,138
15.04.2019,217
16.04.2019,159
17.04.2019,245
18.04.2019,285
19.04.2019,412
20.04.2019,407
21.04.2019,414
22.04.2019,303
23.04.2019,208
24.04.2019,218
25.04.2019,247
26.04.2019,282
27.04.2019,199
28.04.2019,186
29.04.2019,224
30.04.2019,221
01.05.2019,181
02.05.2019,130
03.05.2019,189
04.05.2019,142
05.05.2019,142
06.05.2019,151
07.05.2019,146
08.05.2019,138
09.05.2019,155
10.05.2019,181
11.05.2019,265
12.05.2019,215
13.05.2019,213
14.05.2019,215
15.05.2019,207
16.05.2019,216
17.05.2019,180
18.05.2019,300
19.05.2019,289
20.05.2019,285
21.05.2019,250
22.05.2019,204
23.05.2019,246
24.05.2019,180
25.05.2019,228
26.05.2019,173
27.05.2019,230
28.05.2019,237
29.05.2019,217
30.05.2019,216
31.05.2019,344
01.06.2019,290
02.06.2019,328
03.06.2019,331
04.06.2019,358
05.06.2019,448
06.06.2019,418
07.06.2019,328
08.06.2019,318
09.06.2019,318
10.06.2019,263
11.06.2019,290
12.06.2019,319
13.06.2019,373
14.06.2019,358
15.06.2019,279
16.06.2019,342
17.06.2019,433
18.06.2019,475
19.06.2019,471
20.06.2019,426
21.06.2019,430
22.06.2019,393
23.06.2019,452
24.06.2019,531
25.06.2019,491
26.06.2019,461
27.06.2019,363
28.06.2019,395
29.06.2019,461
30.06.2019,412
01.07.2019,288
02.07.2019,249
03.07.2019,242
04.07.2019,216
05.07.2019,327
06.07.2019,240
07.07.2019,308
08.07.2019,379
09.07.2019,419
10.07.2019,519
11.07.2019,575
12.07.2019,572
13.07.2019,535
14.07.2019,470
15.07.2019,407
16.07.2019,452
17.07.2019,523
18.07.2019,574
19.07.2019,508
20.07.2019,565
21.07.2019,449
22.07.2019,500
23.07.2019,708
24.07.2019,737
25.07.2019,725
26.07.2019,574
27.07.2019,526
28.07.2019,452
29.07.2019,523
30.07.2019,471
31.07.2019,356
01.08.2019,353
02.08.2019,509
03.08.2019,556
04.08.2019,399
05.08.2019,417
06.08.2019,345
07.08.2019,314
08.08.2019,282
09.08.2019,389
10.08.2019,368
11.08.2019,258
12.08.2019,255
13.08.2019,181
14.08.2019,196
15.08.2019,177
16.08.2019,210
17.08.2019,167
18.08.2019,159
19.08.2019,267
20.08.2019,260
21.08.2019,248
22.08.2019,283
23.08.2019,369
24.08.2019,422
25.08.2019,385
26.08.2019,354
27.08.2019,300
28.08.2019,253
29.08.2019,273
30.08.2019,261
31.08.2019,272
01.09.2019,161
02.09.2019,138
03.09.2019,144
04.09.2019,110
05.09.2019,101
06.09.2019,93
07.09.2019,190
08.09.2019,116
09.09.2019,84
10.09.2019,104
11.09.2019,88
12.09.2019,86
13.09.2019,117
14.09.2019,171
15.09.2019,90
16.09.2019,92
17.09.2019,74
18.09.2019,84
19.09.2019,95
20.09.2019,107
21.09.2019,186
22.09.2019,155
23.09.2019,73
24.09.2019,52
25.09.2019,57
26.09.2019,45
27.09.2019,78
28.09.2019,122
29.09.2019,58
30.09.2019,73
01.10.2019,58
02.10.2019,62
03.10.2019,53
04.10.2019,53
05.10.2019,67
06.10.2019,51
07.10.2019,46
08.10.2019,55
09.10.2019,78
10.10.2019,54
11.10.2019,40
12.10.2019,56
13.10.2019,56
14.10.2019,57
15.10.2019,48
16.10.2019,47
17.10.2019,30
18.10.2019,48
19.10.2019,47
20.10.2019,40
21.10.2019,43
22.10.2019,49
23.10.2019,54
24.10.2019,47
25.10.2019,55
26.10.2019,44
27.10.2019,51
28.10.2019,56
29.10.2019,46
30.10.2019,44
31.10.2019,60
01.11.2019,37
02.11.2019,27
03.11.2019,51
04.11.2019,41
05.11.2019,41
06.11.2019,30
07.11.2019,23
08.11.2019,36
09.11.2019,16
10.11.2019,25
11.11.2019,34
12.11.2019,33
13.11.2019,36
14.11.2019,32
15.11.2019,21
16.11.2019,26
17.11.2019,18
18.11.2019,26
19.11.2019,25
20.11.2019,24
21.11.2019,23
22.11.2019,28
23.11.2019,23
24.11.2019,25
25.11.2019,27
26.11.2019,47
27.11.2019,31
