Date,Danish
04.02.2019,94
05.02.2019,68
06.02.2019,58
07.02.2019,81
08.02.2019,76
09.02.2019,45
10.02.2019,44
11.02.2019,69
12.02.2019,59
13.02.2019,86
14.02.2019,76
15.02.2019,66
16.02.2019,64
17.02.2019,90
18.02.2019,89
19.02.2019,88
20.02.2019,79
21.02.2019,74
22.02.2019,86
23.02.2019,95
24.02.2019,88
25.02.2019,90
26.02.2019,101
27.02.2019,152
28.02.2019,122
01.03.2019,79
02.03.2019,71
03.03.2019,79
04.03.2019,94
05.03.2019,124
06.03.2019,36
07.03.2019,97
08.03.2019,73
09.03.2019,68
10.03.2019,99
11.03.2019,145
12.03.2019,115
13.03.2019,122
14.03.2019,129
15.03.2019,86
16.03.2019,63
17.03.2019,79
18.03.2019,111
19.03.2019,200
20.03.2019,0
21.03.2019,0
22.03.2019,0
23.03.2019,0
24.03.2019,0
25.03.2019,0
26.03.2019,0
27.03.2019,212
28.03.2019,204
29.03.2019,244
30.03.2019,306
31.03.2019,221
01.04.2019,279
02.04.2019,259
03.04.2019,210
04.04.2019,273
05.04.2019,369
06.04.2019,385
07.04.2019,408
08.04.2019,389
09.04.2019,376
10.04.2019,306
11.04.2019,302
12.04.2019,234
13.04.2019,222
14.04.2019,263
15.04.2019,380
16.04.2019,294
17.04.2019,461
18.04.2019,654
19.04.2019,892
20.04.2019,788
21.04.2019,831
22.04.2019,599
23.04.2019,461
24.04.2019,487
25.04.2019,605
26.04.2019,616
27.04.2019,362
28.04.2019,369
29.04.2019,507
30.04.2019,491
01.05.2019,405
02.05.2019,340
03.05.2019,373
04.05.2019,327
05.05.2019,342
06.05.2019,418
07.05.2019,391
08.05.2019,403
09.05.2019,426
10.05.2019,456
11.05.2019,579
12.05.2019,521
13.05.2019,558
14.05.2019,611
15.05.2019,667
16.05.2019,605
17.05.2019,406
18.05.2019,738
19.05.2019,769
20.05.2019,767
21.05.2019,605
22.05.2019,513
23.05.2019,600
24.05.2019,525
25.05.2019,534
26.05.2019,422
27.05.2019,517
28.05.2019,535
29.05.2019,516
30.05.2019,426
31.05.2019,737
01.06.2019,654
02.06.2019,786
03.06.2019,998
04.06.2019,1.198
05.06.2019,1.567
06.06.2019,1.093
07.06.2019,834
08.06.2019,774
09.06.2019,896
10.06.2019,816
11.06.2019,809
12.06.2019,907
13.06.2019,1.086
14.06.2019,1.142
15.06.2019,738
16.06.2019,1.039
17.06.2019,1.291
18.06.2019,1.324
19.06.2019,1.421
20.06.2019,1.277
21.06.2019,1.182
22.06.2019,1.203
23.06.2019,1.351
24.06.2019,1.608
25.06.2019,1.561
26.06.2019,1.382
27.06.2019,1.204
28.06.2019,1.324
29.06.2019,1.571
30.06.2019,1.524
01.07.2019,876
02.07.2019,640
03.07.2019,649
04.07.2019,549
05.07.2019,728
06.07.2019,629
07.07.2019,818
08.07.2019,951
09.07.2019,1.130
10.07.2019,1.249
11.07.2019,1.415
12.07.2019,1.380
13.07.2019,1.363
14.07.2019,1.277
15.07.2019,1.073
16.07.2019,1.180
17.07.2019,1.422
18.07.2019,1.396
19.07.2019,1.188
20.07.2019,1.161
21.07.2019,985
22.07.2019,1.214
23.07.2019,1.699
24.07.2019,1.958
25.07.2019,1.919
26.07.2019,1.640
27.07.2019,1.314
28.07.2019,1.140
29.07.2019,1.409
30.07.2019,1.139
31.07.2019,809
01.08.2019,842
02.08.2019,1.225
03.08.2019,1.213
04.08.2019,919
05.08.2019,1.020
06.08.2019,882
07.08.2019,854
08.08.2019,718
09.08.2019,751
10.08.2019,772
11.08.2019,607
12.08.2019,607
13.08.2019,435
14.08.2019,488
15.08.2019,397
16.08.2019,427
17.08.2019,404
18.08.2019,380
19.08.2019,529
20.08.2019,582
21.08.2019,584
22.08.2019,658
23.08.2019,901
24.08.2019,989
25.08.2019,935
26.08.2019,886
27.08.2019,641
28.08.2019,593
29.08.2019,612
30.08.2019,623
31.08.2019,728
01.09.2019,336
02.09.2019,274
03.09.2019,247
04.09.2019,238
05.09.2019,189
06.09.2019,214
07.09.2019,387
08.09.2019,250
09.09.2019,158
10.09.2019,139
11.09.2019,186
12.09.2019,181
13.09.2019,209
14.09.2019,316
15.09.2019,137
16.09.2019,150
17.09.2019,120
18.09.2019,124
19.09.2019,138
20.09.2019,169
21.09.2019,336
22.09.2019,287
23.09.2019,120
24.09.2019,84
25.09.2019,82
26.09.2019,84
27.09.2019,99
28.09.2019,130
29.09.2019,66
30.09.2019,65
01.10.2019,65
02.10.2019,150
03.10.2019,105
04.10.2019,118
05.10.2019,135
06.10.2019,101
07.10.2019,80
08.10.2019,94
09.10.2019,114
10.10.2019,150
11.10.2019,89
12.10.2019,127
13.10.2019,137
14.10.2019,107
15.10.2019,123
16.10.2019,94
17.10.2019,74
18.10.2019,90
19.10.2019,78
20.10.2019,56
21.10.2019,73
22.10.2019,70
23.10.2019,62
24.10.2019,59
25.10.2019,48
26.10.2019,41
27.10.2019,66
28.10.2019,49
29.10.2019,68
30.10.2019,53
31.10.2019,41
01.11.2019,44
02.11.2019,29
03.11.2019,47
04.11.2019,48
05.11.2019,50
06.11.2019,46
07.11.2019,47
08.11.2019,55
09.11.2019,36
10.11.2019,35
11.11.2019,38
12.11.2019,41
13.11.2019,38
14.11.2019,51
15.11.2019,36
16.11.2019,31
17.11.2019,20
18.11.2019,45
19.11.2019,44
20.11.2019,57
21.11.2019,44
22.11.2019,36
23.11.2019,25
24.11.2019,34
25.11.2019,41
26.11.2019,101
27.11.2019,38
