Date,English_GB
04.02.2019,5
05.02.2019,9
06.02.2019,6
07.02.2019,4
08.02.2019,4
09.02.2019,3
10.02.2019,7
11.02.2019,11
12.02.2019,8
13.02.2019,4
14.02.2019,9
15.02.2019,8
16.02.2019,5
17.02.2019,11
18.02.2019,14
19.02.2019,7
20.02.2019,7
21.02.2019,12
22.02.2019,8
23.02.2019,10
24.02.2019,6
25.02.2019,10
26.02.2019,13
27.02.2019,11
28.02.2019,12
01.03.2019,17
02.03.2019,13
03.03.2019,13
04.03.2019,9
05.03.2019,7
06.03.2019,3
07.03.2019,14
08.03.2019,6
09.03.2019,12
10.03.2019,13
11.03.2019,9
12.03.2019,14
13.03.2019,13
14.03.2019,17
15.03.2019,8
16.03.2019,13
17.03.2019,10
18.03.2019,11
19.03.2019,10
20.03.2019,0
21.03.2019,0
22.03.2019,0
23.03.2019,0
24.03.2019,0
25.03.2019,0
26.03.2019,0
27.03.2019,64
28.03.2019,43
29.03.2019,71
30.03.2019,85
31.03.2019,58
01.04.2019,75
02.04.2019,66
03.04.2019,55
04.04.2019,76
05.04.2019,90
06.04.2019,90
07.04.2019,106
08.04.2019,108
09.04.2019,78
10.04.2019,40
11.04.2019,59
12.04.2019,41
13.04.2019,40
14.04.2019,59
15.04.2019,49
16.04.2019,45
17.04.2019,85
18.04.2019,115
19.04.2019,175
20.04.2019,170
21.04.2019,170
22.04.2019,72
23.04.2019,85
24.04.2019,75
25.04.2019,80
26.04.2019,122
27.04.2019,72
28.04.2019,60
29.04.2019,80
30.04.2019,71
01.05.2019,78
02.05.2019,48
03.05.2019,39
04.05.2019,70
05.05.2019,67
06.05.2019,51
07.05.2019,50
08.05.2019,41
09.05.2019,68
10.05.2019,52
11.05.2019,112
12.05.2019,70
13.05.2019,82
14.05.2019,75
15.05.2019,67
16.05.2019,77
17.05.2019,70
18.05.2019,154
19.05.2019,151
20.05.2019,105
21.05.2019,83
22.05.2019,61
23.05.2019,79
24.05.2019,73
25.05.2019,109
26.05.2019,75
27.05.2019,76
28.05.2019,67
29.05.2019,64
30.05.2019,56
31.05.2019,141
01.06.2019,120
02.06.2019,134
03.06.2019,106
04.06.2019,95
05.06.2019,159
06.06.2019,121
07.06.2019,117
08.06.2019,121
09.06.2019,153
10.06.2019,92
11.06.2019,97
12.06.2019,129
13.06.2019,144
14.06.2019,122
15.06.2019,85
16.06.2019,131
17.06.2019,169
18.06.2019,140
19.06.2019,129
20.06.2019,115
21.06.2019,145
22.06.2019,131
23.06.2019,164
24.06.2019,161
25.06.2019,163
26.06.2019,148
27.06.2019,131
28.06.2019,149
29.06.2019,185
30.06.2019,117
01.07.2019,81
02.07.2019,68
03.07.2019,59
04.07.2019,70
05.07.2019,85
06.07.2019,51
07.07.2019,53
08.07.2019,75
09.07.2019,94
10.07.2019,127
11.07.2019,136
12.07.2019,156
13.07.2019,137
14.07.2019,130
15.07.2019,103
16.07.2019,92
17.07.2019,138
18.07.2019,141
19.07.2019,129
20.07.2019,132
21.07.2019,110
22.07.2019,118
23.07.2019,132
24.07.2019,165
25.07.2019,156
26.07.2019,147
27.07.2019,134
28.07.2019,142
29.07.2019,127
30.07.2019,93
31.07.2019,69
01.08.2019,94
02.08.2019,126
03.08.2019,128
04.08.2019,125
05.08.2019,115
06.08.2019,100
07.08.2019,79
08.08.2019,82
09.08.2019,103
10.08.2019,123
11.08.2019,104
12.08.2019,93
13.08.2019,64
14.08.2019,74
15.08.2019,68
16.08.2019,92
17.08.2019,59
18.08.2019,58
19.08.2019,109
20.08.2019,75
21.08.2019,77
22.08.2019,110
23.08.2019,151
24.08.2019,161
25.08.2019,175
26.08.2019,107
27.08.2019,96
28.08.2019,98
29.08.2019,94
30.08.2019,84
31.08.2019,98
01.09.2019,79
02.09.2019,75
03.09.2019,38
04.09.2019,51
05.09.2019,44
06.09.2019,39
07.09.2019,97
08.09.2019,72
09.09.2019,34
10.09.2019,29
11.09.2019,38
12.09.2019,44
13.09.2019,57
14.09.2019,85
15.09.2019,38
16.09.2019,36
17.09.2019,36
18.09.2019,35
19.09.2019,49
20.09.2019,47
21.09.2019,93
22.09.2019,89
23.09.2019,41
24.09.2019,27
25.09.2019,21
26.09.2019,26
27.09.2019,29
28.09.2019,67
29.09.2019,45
30.09.2019,38
01.10.2019,17
02.10.2019,31
03.10.2019,21
04.10.2019,27
05.10.2019,48
06.10.2019,27
07.10.2019,34
08.10.2019,20
09.10.2019,21
10.10.2019,24
11.10.2019,19
12.10.2019,22
13.10.2019,19
14.10.2019,25
15.10.2019,25
16.10.2019,14
17.10.2019,19
18.10.2019,24
19.10.2019,35
20.10.2019,23
21.10.2019,25
22.10.2019,23
23.10.2019,12
24.10.2019,22
25.10.2019,37
26.10.2019,30
27.10.2019,25
28.10.2019,17
29.10.2019,14
30.10.2019,15
31.10.2019,19
01.11.2019,9
02.11.2019,12
03.11.2019,16
04.11.2019,9
05.11.2019,16
06.11.2019,18
07.11.2019,10
08.11.2019,11
09.11.2019,20
10.11.2019,15
11.11.2019,14
12.11.2019,16
13.11.2019,15
14.11.2019,12
15.11.2019,10
16.11.2019,7
17.11.2019,9
18.11.2019,24
19.11.2019,15
20.11.2019,15
21.11.2019,5
22.11.2019,19
23.11.2019,19
24.11.2019,19
25.11.2019,14
26.11.2019,15
27.11.2019,6
