Date,Sessions
04.02.2019,16
05.02.2019,0
06.02.2019,0
07.02.2019,0
08.02.2019,0
09.02.2019,0
10.02.2019,0
11.02.2019,0
12.02.2019,14
13.02.2019,0
14.02.2019,0
15.02.2019,0
16.02.2019,0
17.02.2019,0
18.02.2019,0
19.02.2019,0
20.02.2019,0
21.02.2019,0
22.02.2019,0
23.02.2019,0
24.02.2019,0
25.02.2019,11
26.02.2019,0
27.02.2019,16
28.02.2019,15
01.03.2019,0
02.03.2019,0
03.03.2019,0
04.03.2019,0
05.03.2019,0
06.03.2019,0
07.03.2019,0
08.03.2019,0
09.03.2019,0
10.03.2019,0
11.03.2019,14
12.03.2019,10
13.03.2019,0
14.03.2019,0
15.03.2019,0
16.03.2019,0
17.03.2019,0
18.03.2019,12
19.03.2019,15
20.03.2019,0
21.03.2019,0
22.03.2019,0
23.03.2019,0
24.03.2019,0
25.03.2019,0
26.03.2019,0
27.03.2019,12
28.03.2019,18
29.03.2019,0
30.03.2019,16
31.03.2019,16
01.04.2019,23
02.04.2019,19
03.04.2019,30
04.04.2019,41
05.04.2019,24
06.04.2019,26
07.04.2019,24
08.04.2019,45
09.04.2019,48
10.04.2019,25
11.04.2019,19
12.04.2019,27
13.04.2019,0
14.04.2019,0
15.04.2019,22
16.04.2019,20
17.04.2019,38
18.04.2019,46
19.04.2019,62
20.04.2019,48
21.04.2019,41
22.04.2019,29
23.04.2019,49
24.04.2019,34
25.04.2019,48
26.04.2019,50
27.04.2019,26
28.04.2019,36
29.04.2019,43
30.04.2019,42
01.05.2019,25
02.05.2019,37
03.05.2019,17
04.05.2019,19
05.05.2019,26
06.05.2019,45
07.05.2019,25
08.05.2019,36
09.05.2019,36
10.05.2019,39
11.05.2019,28
12.05.2019,27
13.05.2019,29
14.05.2019,29
15.05.2019,26
16.05.2019,34
17.05.2019,20
18.05.2019,43
19.05.2019,68
20.05.2019,61
21.05.2019,50
22.05.2019,38
23.05.2019,48
24.05.2019,41
25.05.2019,34
26.05.2019,26
27.05.2019,46
28.05.2019,39
29.05.2019,36
30.05.2019,25
31.05.2019,50
01.06.2019,36
02.06.2019,43
03.06.2019,56
04.06.2019,73
05.06.2019,83
06.06.2019,54
07.06.2019,47
08.06.2019,42
09.06.2019,47
10.06.2019,54
11.06.2019,94
12.06.2019,70
13.06.2019,66
14.06.2019,60
15.06.2019,32
16.06.2019,61
17.06.2019,81
18.06.2019,92
19.06.2019,91
20.06.2019,74
21.06.2019,71
22.06.2019,61
23.06.2019,81
24.06.2019,103
25.06.2019,96
26.06.2019,66
27.06.2019,66
28.06.2019,58
29.06.2019,74
30.06.2019,70
01.07.2019,55
02.07.2019,52
03.07.2019,44
04.07.2019,38
05.07.2019,48
06.07.2019,59
07.07.2019,57
08.07.2019,90
09.07.2019,48
10.07.2019,45
11.07.2019,81
12.07.2019,62
13.07.2019,45
14.07.2019,59
15.07.2019,58
16.07.2019,49
17.07.2019,42
18.07.2019,67
19.07.2019,60
20.07.2019,56
21.07.2019,52
22.07.2019,66
23.07.2019,90
24.07.2019,96
25.07.2019,97
26.07.2019,78
27.07.2019,65
28.07.2019,55
29.07.2019,74
30.07.2019,66
31.07.2019,41
01.08.2019,47
02.08.2019,52
03.08.2019,68
04.08.2019,46
05.08.2019,67
06.08.2019,50
07.08.2019,47
08.08.2019,40
09.08.2019,43
10.08.2019,32
11.08.2019,28
12.08.2019,35
13.08.2019,24
14.08.2019,23
15.08.2019,19
16.08.2019,37
17.08.2019,30
18.08.2019,22
19.08.2019,46
20.08.2019,24
21.08.2019,46
22.08.2019,44
23.08.2019,49
24.08.2019,49
25.08.2019,32
26.08.2019,49
27.08.2019,41
28.08.2019,64
29.08.2019,41
30.08.2019,46
31.08.2019,25
01.09.2019,27
02.09.2019,40
03.09.2019,23
04.09.2019,30
05.09.2019,17
06.09.2019,20
07.09.2019,24
08.09.2019,22
09.09.2019,21
10.09.2019,20
11.09.2019,26
12.09.2019,17
13.09.2019,18
14.09.2019,12
15.09.2019,0
16.09.2019,14
17.09.2019,17
18.09.2019,20
19.09.2019,21
20.09.2019,10
21.09.2019,21
22.09.2019,20
23.09.2019,0
24.09.2019,0
25.09.2019,0
26.09.2019,0
27.09.2019,13
28.09.2019,0
29.09.2019,0
30.09.2019,18
01.10.2019,0
02.10.2019,18
03.10.2019,19
04.10.2019,0
05.10.2019,0
06.10.2019,0
07.10.2019,0
08.10.2019,0
09.10.2019,0
10.10.2019,0
11.10.2019,0
12.10.2019,0
13.10.2019,0
14.10.2019,0
15.10.2019,13
16.10.2019,12
17.10.2019,0
18.10.2019,0
19.10.2019,0
20.10.2019,0
21.10.2019,13
22.10.2019,15
23.10.2019,12
24.10.2019,0
25.10.2019,0
26.10.2019,0
27.10.2019,0
28.10.2019,0
29.10.2019,0
30.10.2019,0
31.10.2019,0
01.11.2019,0
02.11.2019,0
03.11.2019,0
04.11.2019,0
05.11.2019,0
06.11.2019,0
07.11.2019,0
08.11.2019,0
09.11.2019,0
010.11.2019,0
11.11.2019,0
12.11.2019,0
13.11.2019,0
14.11.2019,0
15.11.2019,0
16.11.2019,0
17.11.2019,0
18.11.2019,0
19.11.2019,10
20.11.2019,0
21.11.2019,0
22.11.2019,0
23.11.2019,0
24.11.2019,0
25.11.2019,0
26.11.2019,0
27.11.2019,0
