Date,Search_Boats
04.02.2019,0
05.02.2019,0
06.02.2019,0
07.02.2019,0
08.02.2019,0
09.02.2019,0
10.02.2019,0
11.02.2019,0
12.02.2019,0
13.02.2019,0
14.02.2019,0
15.02.2019,0
16.02.2019,0
17.02.2019,0
18.02.2019,0
19.02.2019,0
20.02.2019,0
21.02.2019,0
22.02.2019,0
23.02.2019,0
24.02.2019,0
25.02.2019,0
26.02.2019,0
27.02.2019,0
28.02.2019,0
01.03.2019,0
02.03.2019,0
03.03.2019,0
04.03.2019,0
05.03.2019,0
06.03.2019,0
07.03.2019,0
08.03.2019,0
09.03.2019,0
10.03.2019,0
11.03.2019,0
12.03.2019,0
13.03.2019,0
14.03.2019,0
15.03.2019,0
16.03.2019,0
17.03.2019,0
18.03.2019,0
19.03.2019,0
20.03.2019,0
21.03.2019,0
22.03.2019,0
23.03.2019,0
24.03.2019,0
25.03.2019,0
26.03.2019,0
27.03.2019,0
28.03.2019,0
29.03.2019,0
30.03.2019,0
31.03.2019,0
01.04.2019,0
02.04.2019,0
03.04.2019,0
04.04.2019,0
05.04.2019,0
06.04.2019,0
07.04.2019,0
08.04.2019,0
09.04.2019,0
10.04.2019,0
11.04.2019,0
12.04.2019,61
13.04.2019,48
14.04.2019,52
15.04.2019,46
16.04.2019,64
17.04.2019,126
18.04.2019,129
19.04.2019,91
20.04.2019,242
21.04.2019,231
22.04.2019,165
23.04.2019,159
24.04.2019,139
25.04.2019,209
26.04.2019,122
27.04.2019,129
28.04.2019,107
29.04.2019,130
30.04.2019,75
01.05.2019,90
02.05.2019,81
03.05.2019,48
04.05.2019,71
05.05.2019,87
06.05.2019,64
07.05.2019,41
08.05.2019,56
09.05.2019,61
10.05.2019,43
11.05.2019,41
12.05.2019,29
13.05.2019,31
14.05.2019,31
15.05.2019,25
16.05.2019,24
17.05.2019,16
18.05.2019,23
19.05.2019,24
20.05.2019,21
21.05.2019,27
22.05.2019,22
23.05.2019,20
24.05.2019,26
25.05.2019,30
26.05.2019,25
27.05.2019,26
28.05.2019,19
29.05.2019,23
30.05.2019,21
31.05.2019,17
01.06.2019,29
02.06.2019,33
03.06.2019,33
04.06.2019,35
05.06.2019,29
06.06.2019,28
07.06.2019,23
08.06.2019,38
09.06.2019,24
10.06.2019,30
11.06.2019,23
12.06.2019,26
13.06.2019,32
14.06.2019,27
15.06.2019,26
16.06.2019,31
17.06.2019,32
18.06.2019,27
19.06.2019,34
20.06.2019,25
21.06.2019,40
22.06.2019,27
23.06.2019,25
24.06.2019,32
25.06.2019,25
26.06.2019,32
27.06.2019,30
28.06.2019,39
29.06.2019,32
30.06.2019,37
01.07.2019,29
02.07.2019,30
03.07.2019,27
04.07.2019,22
05.07.2019,32
06.07.2019,34
07.07.2019,28
08.07.2019,24
09.07.2019,28
10.07.2019,36
11.07.2019,31
12.07.2019,38
13.07.2019,34
14.07.2019,28
15.07.2019,38
16.07.2019,29
17.07.2019,34
18.07.2019,41
19.07.2019,31
20.07.2019,26
21.07.2019,37
22.07.2019,25
23.07.2019,20
24.07.2019,27
25.07.2019,29
26.07.2019,31
27.07.2019,27
28.07.2019,30
29.07.2019,26
30.07.2019,23
31.07.2019,24
01.08.2019,21
02.08.2019,32
03.08.2019,31
04.08.2019,28
05.08.2019,31
06.08.2019,30
07.08.2019,29
08.08.2019,23
09.08.2019,25
10.08.2019,28
11.08.2019,18
12.08.2019,21
13.08.2019,21
14.08.2019,19
15.08.2019,15
16.08.2019,19
17.08.2019,19
18.08.2019,19
19.08.2019,25
20.08.2019,17
21.08.2019,31
22.08.2019,18
23.08.2019,24
24.08.2019,19
25.08.2019,3
26.08.2019,3
27.08.2019,1
28.08.2019,0
29.08.2019,0
30.08.2019,0
31.08.2019,1
01.09.2019,0
02.09.2019,0
03.09.2019,8
04.09.2019,14
05.09.2019,20
06.09.2019,10
07.09.2019,32
08.09.2019,24
09.09.2019,7
10.09.2019,8
11.09.2019,8
12.09.2019,10
13.09.2019,14
14.09.2019,20
15.09.2019,14
16.09.2019,8
17.09.2019,7
18.09.2019,5
19.09.2019,9
20.09.2019,10
21.09.2019,26
22.09.2019,24
23.09.2019,14
24.09.2019,10
25.09.2019,5
26.09.2019,4
27.09.2019,4
28.09.2019,10
29.09.2019,8
30.09.2019,6
01.10.2019,8
02.10.2019,12
03.10.2019,2
04.10.2019,4
05.10.2019,13
06.10.2019,8
07.10.2019,7
08.10.2019,7
09.10.2019,2
10.10.2019,4
11.10.2019,7
12.10.2019,2
13.10.2019,6
14.10.2019,3
15.10.2019,7
16.10.2019,6
17.10.2019,5
18.10.2019,4
19.10.2019,14
20.10.2019,2
21.10.2019,15
22.10.2019,8
23.10.2019,1
24.10.2019,4
25.10.2019,7
26.10.2019,4
27.10.2019,3
28.10.2019,4
29.10.2019,3
30.10.2019,0
31.10.2019,3
01.11.2019,2
02.11.2019,1
03.11.2019,2
04.11.2019,2
05.11.2019,5
06.11.2019,4
07.11.2019,1
08.11.2019,5
09.11.2019,2
10.11.2019,3
11.11.2019,3
12.11.2019,3
13.11.2019,4
14.11.2019,5
15.11.2019,3
16.11.2019,1
17.11.2019,1
18.11.2019,4
19.11.2019,2
20.11.2019,3
21.11.2019,2
22.11.2019,1
23.11.2019,2
24.11.2019,1
25.11.2019,0
26.11.2019,1
27.11.2019,0
