Date,Art_Theater
04.02.2019,42
05.02.2019,31
06.02.2019,22
07.02.2019,31
08.02.2019,23
09.02.2019,21
10.02.2019,12
11.02.2019,33
12.02.2019,35
13.02.2019,36
14.02.2019,25
15.02.2019,38
16.02.2019,20
17.02.2019,29
18.02.2019,47
19.02.2019,51
20.02.2019,30
21.02.2019,44
22.02.2019,38
23.02.2019,15
24.02.2019,23
25.02.2019,47
26.02.2019,55
27.02.2019,76
28.02.2019,54
01.03.2019,33
02.03.2019,15
03.03.2019,34
04.03.2019,45
05.03.2019,38
06.03.2019,15
07.03.2019,30
08.03.2019,32
09.03.2019,26
10.03.2019,30
11.03.2019,58
12.03.2019,45
13.03.2019,33
14.03.2019,47
15.03.2019,34
16.03.2019,21
17.03.2019,24
18.03.2019,41
19.03.2019,58
27.03.2019,77
28.03.2019,94
29.03.2019,96
30.03.2019,112
31.03.2019,63
01.04.2019,152
02.04.2019,125
03.04.2019,93
04.04.2019,145
05.04.2019,130
06.04.2019,141
07.04.2019,138
08.04.2019,193
09.04.2019,154
10.04.2019,101
11.04.2019,114
12.04.2019,130
13.04.2019,75
14.04.2019,71
15.04.2019,122
16.04.2019,105
17.04.2019,141
18.04.2019,222
19.04.2019,262
20.04.2019,261
21.04.2019,235
22.04.2019,163
23.04.2019,235
24.04.2019,174
25.04.2019,211
26.04.2019,257
27.04.2019,119
28.04.2019,140
29.04.2019,208
30.04.2019,221
01.05.2019,185
02.05.2019,150
03.05.2019,138
04.05.2019,124
05.05.2019,122
06.05.2019,219
07.05.2019,192
08.05.2019,162
09.05.2019,181
10.05.2019,163
11.05.2019,217
12.05.2019,161
13.05.2019,252
14.05.2019,221
15.05.2019,248
16.05.2019,231
17.05.2019,157
18.05.2019,235
19.05.2019,283
20.05.2019,267
21.05.2019,216
22.05.2019,169
23.05.2019,218
24.05.2019,196
25.05.2019,164
26.05.2019,149
27.05.2019,225
28.05.2019,211
29.05.2019,174
30.05.2019,151
31.05.2019,301
01.06.2019,223
02.06.2019,264
03.06.2019,355
04.06.2019,372
05.06.2019,358
06.06.2019,311
07.06.2019,256
08.06.2019,228
09.06.2019,240
10.06.2019,225
11.06.2019,339
12.06.2019,366
13.06.2019,378
14.06.2019,338
15.06.2019,184
16.06.2019,274
17.06.2019,428
18.06.2019,396
19.06.2019,405
20.06.2019,378
21.06.2019,361
22.06.2019,375
23.06.2019,324
24.06.2019,547
25.06.2019,510
26.06.2019,411
27.06.2019,343
28.06.2019,358
29.06.2019,409
30.06.2019,304
01.07.2019,247
02.07.2019,189
03.07.2019,196
04.07.2019,226
05.07.2019,241
06.07.2019,156
07.07.2019,199
08.07.2019,294
09.07.2019,313
10.07.2019,355
11.07.2019,392
12.07.2019,382
13.07.2019,311
14.07.2019,300
15.07.2019,322
16.07.2019,302
17.07.2019,336
18.07.2019,394
19.07.2019,312
20.07.2019,306
21.07.2019,223
22.07.2019,333
23.07.2019,439
24.07.2019,480
25.07.2019,408
26.07.2019,371
27.07.2019,281
28.07.2019,281
29.07.2019,362
30.07.2019,268
31.07.2019,154
01.08.2019,170
02.08.2019,214
03.08.2019,184
04.08.2019,171
05.08.2019,194
06.08.2019,183
07.08.2019,187
08.08.2019,139
09.08.2019,168
10.08.2019,148
11.08.2019,135
12.08.2019,152
13.08.2019,115
14.08.2019,131
15.08.2019,107
16.08.2019,124
17.08.2019,96
18.08.2019,86
19.08.2019,150
20.08.2019,125
21.08.2019,151
22.08.2019,161
23.08.2019,187
24.08.2019,191
25.08.2019,180
26.08.2019,188
27.08.2019,142
28.08.2019,158
29.08.2019,149
30.08.2019,157
31.08.2019,134
01.09.2019,102
02.09.2019,103
03.09.2019,69
04.09.2019,79
05.09.2019,60
06.09.2019,57
07.09.2019,87
08.09.2019,74
09.09.2019,65
10.09.2019,56
11.09.2019,65
12.09.2019,61
13.09.2019,85
14.09.2019,87
15.09.2019,52
16.09.2019,60
17.09.2019,51
18.09.2019,54
19.09.2019,54
20.09.2019,62
21.09.2019,77
22.09.2019,75
23.09.2019,44
24.09.2019,36
25.09.2019,44
26.09.2019,38
27.09.2019,44
28.09.2019,45
29.09.2019,22
30.09.2019,32
01.10.2019,27
02.10.2019,42
03.10.2019,34
04.10.2019,36
05.10.2019,25
06.10.2019,35
07.10.2019,22
08.10.2019,39
09.10.2019,30
10.10.2019,43
11.10.2019,22
12.10.2019,28
13.10.2019,18
14.10.2019,24
15.10.2019,27
16.10.2019,26
17.10.2019,21
18.10.2019,30
19.10.2019,22
20.10.2019,17
21.10.2019,32
22.10.2019,37
23.10.2019,22
24.10.2019,29
25.10.2019,32
26.10.2019,14
27.10.2019,12
28.10.2019,29
29.10.2019,23
30.10.2019,27
31.10.2019,21
01.11.2019,19
03.11.2019,31
04.11.2019,20
05.11.2019,16
06.11.2019,20
07.11.2019,17
08.11.2019,19
11.11.2019,13
12.11.2019,16
13.11.2019,19
14.11.2019,24
18.11.2019,16
19.11.2019,18
20.11.2019,15
21.11.2019,15
22.11.2019,13
24.11.2019,15
25.11.2019,25
26.11.2019,20
27.11.2019,17
28.11.2019,16
