Date,Business_Professionals
04.02.2019,49
05.02.2019,37
06.02.2019,31
07.02.2019,36
08.02.2019,32
09.02.2019,23
10.02.2019,12
11.02.2019,34
12.02.2019,40
13.02.2019,60
14.02.2019,27
15.02.2019,48
16.02.2019,22
17.02.2019,30
18.02.2019,61
19.02.2019,43
20.02.2019,44
21.02.2019,52
22.02.2019,44
23.02.2019,19
24.02.2019,23
25.02.2019,57
26.02.2019,47
27.02.2019,75
28.02.2019,74
01.03.2019,42
02.03.2019,22
03.03.2019,30
04.03.2019,58
05.03.2019,52
06.03.2019,20
07.03.2019,46
08.03.2019,32
09.03.2019,24
10.03.2019,31
11.03.2019,62
12.03.2019,56
13.03.2019,43
14.03.2019,59
15.03.2019,49
16.03.2019,33
17.03.2019,27
18.03.2019,57
19.03.2019,68
27.03.2019,109
28.03.2019,131
29.03.2019,143
30.03.2019,128
31.03.2019,83
01.04.2019,167
02.04.2019,167
03.04.2019,123
04.04.2019,179
05.04.2019,165
06.04.2019,188
07.04.2019,176
08.04.2019,220
09.04.2019,181
10.04.2019,132
11.04.2019,137
12.04.2019,124
13.04.2019,105
14.04.2019,82
15.04.2019,170
16.04.2019,133
17.04.2019,182
18.04.2019,261
19.04.2019,339
20.04.2019,294
21.04.2019,307
22.04.2019,217
23.04.2019,223
24.04.2019,219
25.04.2019,274
26.04.2019,298
27.04.2019,159
28.04.2019,154
29.04.2019,240
30.04.2019,262
01.05.2019,221
02.05.2019,171
03.05.2019,179
04.05.2019,128
05.05.2019,146
06.05.2019,237
07.05.2019,211
08.05.2019,176
09.05.2019,213
10.05.2019,194
11.05.2019,233
12.05.2019,150
13.05.2019,318
14.05.2019,261
15.05.2019,324
16.05.2019,297
17.05.2019,173
18.05.2019,274
19.05.2019,321
20.05.2019,323
21.05.2019,270
22.05.2019,216
23.05.2019,271
24.05.2019,230
25.05.2019,191
26.05.2019,159
27.05.2019,278
28.05.2019,251
29.05.2019,237
30.05.2019,148
31.05.2019,341
01.06.2019,261
02.06.2019,256
03.06.2019,438
04.06.2019,453
05.06.2019,465
06.06.2019,391
07.06.2019,318
08.06.2019,237
09.06.2019,247
10.06.2019,268
11.06.2019,383
12.06.2019,399
13.06.2019,448
14.06.2019,420
15.06.2019,221
16.06.2019,310
17.06.2019,512
18.06.2019,480
19.06.2019,467
20.06.2019,433
21.06.2019,436
22.06.2019,415
23.06.2019,380
24.06.2019,644
25.06.2019,608
26.06.2019,520
27.06.2019,418
28.06.2019,458
29.06.2019,450
30.06.2019,378
01.07.2019,304
02.07.2019,255
03.07.2019,254
04.07.2019,279
05.07.2019,293
06.07.2019,175
07.07.2019,242
08.07.2019,363
09.07.2019,408
10.07.2019,451
11.07.2019,485
12.07.2019,512
13.07.2019,432
14.07.2019,369
15.07.2019,415
16.07.2019,398
17.07.2019,453
18.07.2019,529
19.07.2019,392
20.07.2019,383
21.07.2019,298
22.07.2019,466
23.07.2019,599
24.07.2019,628
25.07.2019,591
26.07.2019,527
27.07.2019,349
28.07.2019,335
29.07.2019,496
30.07.2019,398
31.07.2019,208
01.08.2019,210
02.08.2019,258
03.08.2019,227
04.08.2019,183
05.08.2019,225
06.08.2019,184
07.08.2019,174
08.08.2019,148
09.08.2019,192
10.08.2019,148
11.08.2019,123
12.08.2019,173
13.08.2019,114
14.08.2019,121
15.08.2019,113
16.08.2019,121
17.08.2019,83
18.08.2019,66
19.08.2019,141
20.08.2019,109
21.08.2019,142
22.08.2019,162
23.08.2019,240
24.08.2019,193
25.08.2019,154
26.08.2019,165
27.08.2019,164
28.08.2019,128
29.08.2019,121
30.08.2019,141
31.08.2019,105
01.09.2019,83
02.09.2019,94
03.09.2019,73
04.09.2019,69
05.09.2019,68
06.09.2019,60
07.09.2019,88
08.09.2019,56
09.09.2019,42
10.09.2019,37
11.09.2019,54
12.09.2019,53
13.09.2019,77
14.09.2019,67
15.09.2019,31
16.09.2019,50
17.09.2019,41
18.09.2019,43
19.09.2019,50
20.09.2019,60
21.09.2019,81
22.09.2019,71
23.09.2019,34
24.09.2019,31
25.09.2019,36
26.09.2019,29
27.09.2019,37
28.09.2019,43
29.09.2019,17
30.09.2019,27
01.10.2019,26
02.10.2019,31
03.10.2019,36
04.10.2019,29
05.10.2019,34
06.10.2019,26
07.10.2019,21
08.10.2019,28
09.10.2019,24
10.10.2019,29
11.10.2019,23
12.10.2019,32
13.10.2019,33
14.10.2019,20
15.10.2019,27
16.10.2019,24
17.10.2019,17
18.10.2019,21
19.10.2019,13
20.10.2019,16
21.10.2019,28
22.10.2019,20
23.10.2019,15
24.10.2019,20
25.10.2019,26
26.10.2019,16
27.10.2019,20
28.10.2019,26
29.10.2019,17
30.10.2019,17
31.10.2019,17
01.11.2019,17
03.11.2019,21
04.11.2019,17
05.11.2019,14
06.11.2019,19
07.11.2019,14
08.11.2019,15
11.11.2019,13
12.11.2019,15
13.11.2019,19
14.11.2019,21
17.11.2019,10
19.11.2019,16
20.11.2019,15
21.11.2019,12
22.11.2019,20
26.11.2019,12
27.11.2019,12
28.11.2019,19
