Date,Music_lovers
04.02.2019,107
05.02.2019,55
06.02.2019,65
07.02.2019,89
08.02.2019,63
09.02.2019,49
10.02.2019,39
11.02.2019,62
12.02.2019,111
13.02.2019,75
14.02.2019,70
15.02.2019,75
16.02.2019,41
17.02.2019,73
18.02.2019,130
19.02.2019,138
20.02.2019,72
21.02.2019,108
22.02.2019,88
23.02.2019,50
24.02.2019,43
25.02.2019,104
26.02.2019,111
27.02.2019,177
28.02.2019,116
01.03.2019,115
02.03.2019,32
03.03.2019,65
04.03.2019,98
05.03.2019,150
06.03.2019,34
07.03.2019,74
08.03.2019,60
09.03.2019,85
10.03.2019,78
11.03.2019,105
12.03.2019,133
13.03.2019,89
14.03.2019,128
15.03.2019,120
16.03.2019,60
17.03.2019,56
18.03.2019,106
19.03.2019,193
27.03.2019,214
28.03.2019,196
29.03.2019,255
30.03.2019,249
31.03.2019,193
01.04.2019,375
02.04.2019,317
03.04.2019,304
04.04.2019,367
05.04.2019,317
06.04.2019,312
07.04.2019,317
08.04.2019,464
09.04.2019,383
10.04.2019,260
11.04.2019,293
12.04.2019,373
13.04.2019,175
14.04.2019,142
15.04.2019,278
16.04.2019,296
17.04.2019,341
18.04.2019,555
19.04.2019,610
20.04.2019,559
21.04.2019,572
22.04.2019,389
23.04.2019,561
24.04.2019,369
25.04.2019,552
26.04.2019,471
27.04.2019,254
28.04.2019,290
29.04.2019,454
30.04.2019,439
01.05.2019,375
02.05.2019,339
03.05.2019,287
04.05.2019,297
05.05.2019,245
06.05.2019,531
07.05.2019,373
08.05.2019,402
09.05.2019,474
10.05.2019,410
11.05.2019,437
12.05.2019,323
13.05.2019,546
14.05.2019,473
15.05.2019,545
16.05.2019,444
17.05.2019,323
18.05.2019,500
19.05.2019,638
20.05.2019,624
21.05.2019,546
22.05.2019,424
23.05.2019,568
24.05.2019,436
25.05.2019,360
26.05.2019,277
27.05.2019,569
28.05.2019,457
29.05.2019,432
30.05.2019,340
31.05.2019,723
01.06.2019,487
02.06.2019,567
03.06.2019,760
04.06.2019,864
05.06.2019,906
06.06.2019,692
07.06.2019,536
08.06.2019,538
09.06.2019,529
10.06.2019,564
11.06.2019,797
12.06.2019,839
13.06.2019,952
14.06.2019,764
15.06.2019,498
16.06.2019,625
17.06.2019,1.021
18.06.2019,963
19.06.2019,1.029
20.06.2019,1.071
21.06.2019,871
22.06.2019,844
23.06.2019,785
24.06.2019,1.362
25.06.2019,1.294
26.06.2019,1.012
27.06.2019,840
28.06.2019,859
29.06.2019,896
30.06.2019,791
01.07.2019,611
02.07.2019,581
03.07.2019,477
04.07.2019,501
05.07.2019,661
06.07.2019,417
07.07.2019,488
08.07.2019,760
09.07.2019,621
10.07.2019,755
11.07.2019,858
12.07.2019,866
13.07.2019,666
14.07.2019,658
15.07.2019,764
16.07.2019,671
17.07.2019,828
18.07.2019,903
19.07.2019,696
20.07.2019,711
21.07.2019,511
22.07.2019,800
23.07.2019,1.037
24.07.2019,1.144
25.07.2019,944
26.07.2019,921
27.07.2019,587
28.07.2019,593
29.07.2019,777
30.07.2019,640
31.07.2019,398
01.08.2019,397
02.08.2019,573
03.08.2019,506
04.08.2019,470
05.08.2019,505
06.08.2019,498
07.08.2019,469
08.08.2019,392
09.08.2019,443
10.08.2019,312
11.08.2019,364
12.08.2019,343
13.08.2019,323
14.08.2019,281
15.08.2019,320
16.08.2019,371
17.08.2019,284
18.08.2019,237
19.08.2019,359
20.08.2019,304
21.08.2019,442
22.08.2019,396
23.08.2019,484
24.08.2019,565
25.08.2019,448
26.08.2019,550
27.08.2019,459
28.08.2019,450
29.08.2019,459
30.08.2019,425
31.08.2019,316
01.09.2019,232
02.09.2019,300
03.09.2019,185
04.09.2019,211
05.09.2019,212
06.09.2019,136
07.09.2019,197
08.09.2019,143
09.09.2019,146
10.09.2019,125
11.09.2019,204
12.09.2019,120
13.09.2019,168
14.09.2019,178
15.09.2019,93
16.09.2019,153
17.09.2019,124
18.09.2019,136
19.09.2019,144
20.09.2019,126
21.09.2019,173
22.09.2019,182
23.09.2019,105
24.09.2019,88
25.09.2019,100
26.09.2019,86
27.09.2019,116
28.09.2019,75
29.09.2019,39
30.09.2019,59
01.10.2019,63
02.10.2019,105
03.10.2019,133
04.10.2019,122
05.10.2019,66
06.10.2019,79
07.10.2019,75
08.10.2019,114
09.10.2019,128
10.10.2019,125
11.10.2019,67
12.10.2019,119
13.10.2019,114
14.10.2019,128
15.10.2019,122
16.10.2019,60
17.10.2019,54
18.10.2019,131
19.10.2019,106
20.10.2019,53
21.10.2019,97
22.10.2019,76
23.10.2019,73
24.10.2019,45
25.10.2019,93
26.10.2019,42
27.10.2019,75
28.10.2019,89
29.10.2019,75
30.10.2019,59
31.10.2019,82
01.11.2019,26
02.11.2019,29
03.11.2019,101
04.11.2019,47
05.11.2019,53
06.11.2019,66
07.11.2019,44
08.11.2019,57
10.11.2019,49
11.11.2019,45
12.11.2019,61
13.11.2019,60
14.11.2019,49
15.11.2019,28
18.11.2019,52
19.11.2019,67
20.11.2019,38
21.11.2019,34
22.11.2019,46
24.11.2019,36
25.11.2019,50
26.11.2019,73
27.11.2019,24
28.11.2019,36
